elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
9.552342892,1787875210.514867306,1.764707307,0.837607649,0.020484218,0.020484218
9.599845171,1787875210.562369585,1.770962192,0.842917382,0.023139147,0.023139147
9.654009342,1787875210.616533756,1.781189929,0.850945216,0.026871269,0.026871269
9.700220108,1787875210.662744522,1.789836532,0.857209242,0.029539869,0.029539869
9.750112295,1787875210.712636709,1.797402493,0.862270314,0.031483958,0.031483958
9.799823523,1787875210.762347937,1.804334516,0.866543304,0.032926340,0.032926340
9.849861622,1787875210.812386036,1.814573456,0.872352148,0.034589037,0.034589037
9.904582977,1787875210.867107391,1.753933482,0.876183002,0.060327760,0.060327760
9.949841261,1787875210.912365675,1.762848336,0.881134053,0.061676221,0.061676221
10.000442505,1787875210.962966919,1.773089854,0.886394736,0.062827774,0.062827774
10.052650213,1787875211.015174627,1.782227543,0.890695065,0.063489095,0.063489095
10.101346254,1787875211.063870668,1.791443670,0.894640687,0.063791590,0.063791590
10.149783850,1787875211.112308264,1.798369854,0.897329341,0.063761483,0.063761483
10.199908495,1787875211.162432909,1.806937972,0.900329059,0.063420521,0.063420521
10.251401186,1787875211.213925600,1.818012066,0.903822428,0.062622711,0.062622711
10.299868584,1787875211.262392998,1.827136324,0.906409652,0.061694468,0.061694468
10.350718737,1787875211.313243151,1.835413847,0.908497645,0.060611174,0.060611174
10.399821997,1787875211.362346411,1.846164276,0.910870962,0.058889222,0.058889222
10.450131416,1787875211.412655830,1.885649280,0.903927152,0.037988476,0.037988476
10.501087427,1787875211.463611841,1.888093331,0.904063919,0.037222099,0.037222099
10.549861431,1787875211.512385845,1.889482536,0.904110892,0.036757853,0.036757853
10.599819422,1787875211.562343836,1.889445643,0.904110061,0.036770569,0.036770569
10.652354479,1787875211.614878893,1.888068238,0.904081637,0.037247765,0.037247765
10.700115681,1787875211.662640095,1.888240395,0.904085965,0.037188844,0.037188844
10.749845028,1787875211.712369442,1.887846994,0.904072613,0.037320265,0.037320265
10.800101757,1787875211.762626171,1.887945312,0.904076802,0.037288214,0.037288214
10.849825859,1787875211.812350273,1.889346057,0.904142807,0.036837461,0.036837461
10.899821997,1787875211.862346411,1.890857328,0.904215302,0.036352337,0.036352337
10.949809551,1787875211.912333965,1.893732557,0.904350481,0.035426820,0.035426820
11.002397299,1787875211.964921713,1.896964380,0.904496729,0.034381217,0.034381217
11.050152063,1787875212.012676477,1.898111961,0.913320722,0.042174546,0.042174546
11.100591421,1787875212.063115835,1.882513663,0.895777641,0.031549852,0.031549852
11.149915457,1787875212.112439871,1.890363638,0.896639656,0.029481812,0.029481812
11.199809790,1787875212.162334204,1.897980705,0.897481497,0.027480157,0.027480157
11.249886513,1787875212.212410927,1.905742677,0.898355802,0.025455735,0.025455735
11.303325415,1787875212.265849829,1.918472750,0.899850424,0.022192075,0.022192075
11.353565454,1787875212.316089869,1.929735000,0.892249298,0.010999248,0.010999248
11.401074171,1787875212.363598585,1.932210571,0.892576324,-0.004928350,0.004928350
11.450535059,1787875212.413059473,1.938775765,0.893502292,-0.006506862,0.006506862
11.500088453,1787875212.462612867,1.941647621,0.893926427,-0.007179644,0.007179644
11.550314903,1787875212.512839317,1.928689956,0.899340744,0.002659780,0.002659780
11.602483988,1787875212.565008402,1.927294846,0.899106730,0.002960634,0.002960634
11.650016546,1787875212.612540960,1.925887295,0.898872530,0.003265936,0.003265936
11.701372147,1787875212.663896561,1.925231946,0.898764167,0.003408714,0.003408714
11.750612736,1787875212.713137150,1.925122707,0.898746190,0.003432593,0.003432593
11.799869061,1787875212.762393475,1.938632974,0.905566529,0.004747532,0.004747532
11.850646019,1787875212.813170433,1.938632974,0.905566529,0.004747532,0.004747532
11.899830818,1787875212.862355232,1.939375234,0.905676437,0.004573910,0.004573910
11.953068256,1787875212.915592670,1.944132944,0.906381318,0.003461407,0.003461407
11.999895811,1787875212.962420225,1.944741334,0.906471548,0.003319233,0.003319233
12.050045490,1787875213.012569904,1.945033350,0.906514930,0.003251060,0.003251060
