elapsed_s,stamp_s,status,icp_attempted,icp_accepted,current_point_count,match_count,inlier_ratio,rmse_m,iterations,converged,icp_processing_time_ms,correction_translation_m,correction_rotation_rad,pose_step_translation_m,pose_step_rotation_rad,accepted_pose_jump_translation_m,accepted_pose_jump_rotation_rad
29.7732036113739,1788477004.6263976,icp_accepted,True,True,485,485,1.0,0.025783693205,13,True,43.992171,0.11752915363,0.0290448075719,0.0220121468091,0.0196007811994,0.11752915363,0.0290448075719
30.364665985107422,1788477005.21786,icp_accepted,True,True,478,476,0.995815899582,0.0284258617777,12,True,71.352054,0.0952929945039,0.0129569293758,0.122956445173,0.224777854216,0.0952929945039,0.0129569293758
30.864049434661865,1788477005.7172434,icp_accepted,True,True,492,456,0.926829268293,0.0431116801586,13,True,47.568536,0.0251595961014,0.0686401679857,0.0606873048052,0.00932937138657,0.0251595961014,0.0686401679857
31.3685462474823,1788477006.2217402,icp_accepted,True,True,498,450,0.903614457831,0.0453069665839,12,True,38.327699,0.0311307743285,0.0567461052147,0.0130435205399,0.0352666771756,0.0311307743285,0.0567461052147
31.866488456726074,1788477006.7196825,stationary,False,False,496,,,,,,,,,0.00563347108683,0.00583696115835,,
32.36526823043823,1788477007.2184622,icp_accepted,True,True,482,414,0.858921161826,0.0733244233617,25,True,116.43915,0.0587986181136,0.105876809703,0.0272168489423,0.186728066329,0.0587986181136,0.105876809703
32.96649956703186,1788477007.8196936,icp_accepted,True,True,491,464,0.945010183299,0.0425931782953,24,True,86.571808,0.0404644797788,0.0610986394713,0.0714968589463,0.125971230609,0.0404644797788,0.0610986394713
33.56272888183594,1788477008.4159229,stationary,False,False,498,,,,,,,,,0.000264091200304,0.001670441193,,
34.06433320045471,1788477008.9175272,stationary,False,False,497,,,,,,,,,3.90527550429e-06,0.000118353890214,,
34.456785678863525,1788477009.3099797,stationary,False,False,485,,,,,,,,,7.02166693715e-16,0.000303787838002,,
35.0644428730011,1788477009.9176369,stationary,False,False,506,,,,,,,,,8.10656748064e-06,0.00019487525293,,
35.46896934509277,1788477010.3221633,stationary,False,False,496,,,,,,,,,8.10656747374e-06,0.000118613890675,,
35.96935820579529,1788477010.8225522,stationary,False,False,484,,,,,,,,,2.95800057061e-10,0.000287142333926,,
36.464327335357666,1788477011.3175213,stationary,False,False,485,,,,,,,,,8.881784197e-16,4.79218643554e-05,,
36.961676836013794,1788477011.8148708,stationary,False,False,489,,,,,,,,,1.52101531586e-09,0.00053316593937,,
